# Vulpora 대화형 설치기용 스킬 설명 카탈로그
# 형식: id | 표시 이름 | 한 줄 설명
agent-eval | 에이전트·스킬 평가 | 에이전트와 스킬의 품질·보안을 평가하고 점수표와 결함 목록을 만듭니다.
vulpora-init | 프로젝트 라우팅 초기화 | 기술 스택을 감지해 AGENTS.md의 Vulpora 라우팅 지침을 갱신합니다.
vulpora-installer | Vulpora 설치 관리 | 에이전트·스킬·MCP의 설치, 업데이트, 상태 점검과 제거를 수행합니다.
architecture-review-workflow | 아키텍처 통합 리뷰 | 시스템·애플리케이션·DDD 경계를 함께 검토해 하나의 근거 기반 판정을 만듭니다.
backend-code-review-workflow | 백엔드 통합 코드 리뷰 | Kotlin·Spring·설계·리팩터링·보안 리뷰를 취합해 하나의 판정을 만듭니다.
codex-agent-runtime | Codex 실행 비활성 호환성 계약 | 비활성 호환성 스킬입니다. 에이전트를 실행하지 않습니다.
code-authoring-router | 구현 지침 자동 라우팅 | 일반 구현 요청에서 저장소 스택을 감지해 코드 작성 스킬을 선택합니다.
design-pattern-apply | 디자인 패턴 적용 | 코드 문맥을 분석해 적합한 디자인 패턴을 선택하고 적용합니다.
diagram-styler | 다이어그램 스타일링 | Mermaid 의미 원본을 문서용 테마의 검증 가능한 SVG로 렌더링합니다.
document-designer | 문서 정보 설계 | 내용의 의미를 보존하며 구조·타이포그래피·정보 위계를 설계합니다.
e2e-report-renderer | E2E HTML 보고서 | E2E 실행 JSON을 외부 의존성 없는 HTML 보고서로 변환합니다.
e2e-runner | E2E 테스트 실행 | 프로젝트 E2E 시나리오를 실행하고 JSON·Markdown 결과를 생성합니다.
e2e-scenario-author | E2E 시나리오 작성 | API와 이벤트 진입점을 분석해 E2E 시나리오 카탈로그를 생성합니다.
e2e-test-workflow | E2E 통합 테스트 워크플로 | 카탈로그·API·브라우저·HTML 단계를 단일 격리 환경에서 조정합니다.
entity | JPA 엔티티 생성 | 프로젝트 규칙에 맞는 Kotlin JPA 엔티티와 식별자 구조를 생성합니다.
enum | 프로토콜 Enum 생성 | 알 수 없는 값 fallback을 포함한 공유 Kotlin enum을 생성합니다.
flyway | Flyway 마이그레이션 | PostgreSQL 규칙과 파일명 계약에 맞는 Flyway SQL을 생성합니다.
git-flow | Git 커밋·MR 흐름 | 변경 검토부터 커밋, push, GitLab MR 생성까지 대화형으로 진행합니다.
harness-propose | 하네스 개선 제안 | 최신 하네스 기법을 조사해 현재 저장소에 맞는 개선안을 작성합니다.
knowledge-audit | 지식 품질 감사 | 자동 수집된 지식을 코드로 검증해 승격·폐기하고 오래된 지식을 정리합니다.
java-spring-review-workflow | Java·Spring 통합 리뷰 | Java·Spring·OOP·디자인 패턴을 저비용 모델 3개로 병렬 검토합니다.
korean-dev-writer | 한국어 개발 문체 | 개발 문서를 사실을 보존하며 자연스러운 한국어로 작성합니다.
kotlin-spring-review-workflow | Kotlin·Spring 통합 리뷰 | Kotlin·Spring·OOP·디자인 패턴·리팩터링 관점을 한 번에 실행하고 취합합니다.
kotlin-spring-review | Kotlin·Spring 리뷰 기준 | Kotlin·Spring 코드의 구조, 정확성, 보안과 관용구를 검토하는 기준을 제공합니다.
kotlin-code-authoring | Kotlin 코드 작성 | 프로젝트 규약을 감지해 Kotlin 코드를 작성·수정하고 람다 파라미터 규약을 적용합니다.
learn | 재사용 지식 추출 | 대화에서 재사용할 교훈을 추출해 승인 후 팀 지식으로 저장합니다.
mapper | 수동 Mapper 생성 | 도메인 모델과 JPA 엔티티 사이의 Kotlin 수동 mapper를 생성합니다.
markdown-publisher | Markdown 출판 | Markdown 원본을 테마가 적용된 독립 HTML과 PDF로 재현 가능하게 출판합니다.
mermaid-diagrams | Mermaid 의미 다이어그램 | 구조·흐름·시퀀스·상태·ER 다이어그램을 버전 가능한 Mermaid 원본으로 작성합니다.
mssql-code-authoring | Microsoft SQL Server 작성 | 레거시 버전·호환성·락·실행 계획을 고려해 안전한 T-SQL과 migration을 작성합니다.
nl-sql-query | 자연어 SQL 조회 | 자연어 질문을 읽기 전용 SQL로 변환·실행하고 결과를 설명합니다.
notion-domain-context | Notion 근거 조사 | 사내 Notion을 읽기 전용으로 검색해 출처가 연결된 근거 묶음을 만듭니다.
oop-design-review | 객체지향 설계 리뷰 | SOLID, GRASP, 응집도와 캡슐화 관점에서 객체 설계를 검토합니다.
opensearch-optimization | OpenSearch 성능 최적화 | shard, refresh, cache와 vector 설정을 분석해 성능 개선안을 제시합니다.
opensearch-code-authoring | OpenSearch 작성 | index mapping, Query DSL, vector·hybrid 설정과 안전한 reindex 전환을 작성합니다.
opensearch-query-review | OpenSearch 쿼리 리뷰 | Query DSL의 정확성, 비용, 관련성과 pagination 위험을 검토합니다.
opensearch-review-workflow | OpenSearch 통합 리뷰 | 쿼리·스키마·최적화 리뷰를 모두 실행해 운영 가능한 하나의 판정을 만듭니다.
opensearch-schema-review | OpenSearch 스키마 리뷰 | mapping, analyzer, dynamic field와 vector schema 위험을 검토합니다.
pdf-qa | PDF 시각 품질 게이트 | PDF의 모든 페이지를 이미지로 렌더링해 시각 결함의 검사 증거를 기록합니다.
playwright-e2e | Playwright 브라우저 E2E | QA UI를 실행하고 케이스별 데이터 생성·정리·증거를 기록합니다.
postgres-query-review | PostgreSQL 쿼리 리뷰 | 실행 계획, 인덱스, join과 pagination 관점에서 SQL을 검토합니다.
postgres-code-authoring | PostgreSQL 작성 | PostgreSQL query, schema, migration을 계약·운영 위험·검증 계획과 함께 작성합니다.
postgres-review-workflow | PostgreSQL 통합 리뷰 | 쿼리·변경 위험·스키마·DBA·데이터 모델 관점을 함께 조정합니다.
postgres-risk-check | PostgreSQL 변경 위험 점검 | lock, 동시성, migration과 운영 중단 위험을 사전에 점검합니다.
postgres-schema-design | PostgreSQL 스키마 설계 | 무결성, 제약조건, 이력과 명명 규칙에 맞는 DB 스키마를 설계합니다.
product-requirements | 제품 요구사항 작성 | 제품 아이디어를 검증 가능한 PRD와 개발 handoff로 구체화합니다.
